"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"BH4 Assist",SBH4,4,$104.52
"Deep Blue Sleep",MCDBS,4,$94.72
"Circulation Accelerator",SCA,4,$109.16
"Collagen Complex",TCC,2,$59.86
"Eco Thyro 37",TETH37,2,$30.46
"Gut Brain Symbiotic",SGBB,5,$154.35
"Kidney Liquescence",T13,2,$23.10
"Mycostat Complex",SMCC,2,$37.14
"Prostate Complex",TPRC,2,$42.12
QuiCalm,MCQC,3,$95.25
ReBiosis,MCRBIO,4,$87.52
"RenoCap Forté",MCKD,3,$79.95
Sunfiber®,MCFIB,8,$215.52
