"Store Name: Metabolic Code"
"Website Address: 1271 Ida St., Cincinnati, OH 45202, US"
"Product Name","Product SKU","Product Quantity","Product Price"
"Stop Inflammation",STOP,3,$64.89
"RenoCap Forté",MCKD,4,$106.60
"Brain Liquescence",T6,2,$23.10
"Circulation Accelerator",SCA,2,$54.58
"Gut Brain Symbiotic",SGBB,2,$61.74
"Lipid Rescue",MCLR,1,$47.02
MycoBind,MCMB,2,$52.44
"Phase 2.5 Bile Support",SP2.5,1,$29.66
"Degex Liquescence",T25,3,$34.65
"Kidney Liquescence",T13,2,$23.10
Viroplex,SVPX,2,$32.98
"Weight Off",C65,2,$21.00
ReBiosis,MCRBIO,3,$65.64
